condition,snr_db,wer,relative_degradation_pct
babble,10,3.791577943685142,17.65824195174758
babble,15,3.2016675105510246,-0.6475466941518493
babble,5,3.45986606702551,7.36473438788772
clean,clean,3.2225349289513376,0.0
indoor,10,2.9045541597205684,-9.86741109844991
indoor,15,3.425380570581809,6.294598696451692
indoor,5,3.326884163737879,3.2381102792421306
traffic,10,3.2345822263391923,0.3738453625318836
traffic,15,3.436965290256699,6.6540895919828005
traffic,5,3.803704023015169,18.03453203385301
